"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1,J3";"TerminalBlock_bornier-3_P5.08mm";2;"Conn_01x03";;;
2;"Q11,Q13";"TO-220-3_Vertical";2;"IRFZ46N";;;
3;"Q6,Q5";"TO-92_Molded_Narrow";2;"BC327";;;
4;"C1,C2";"CP_Radial_D18.0mm_P7.50mm";2;"2200uFx35V";;;
5;"C3,C4,C5";"C_Disc_D5.0mm_W2.5mm_P2.50mm";3;"100nF";;;
6;"C7,C8";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"C";;;
7;"D1,D2,D4,D5";"D_A-405_P7.62mm_Horizontal";4;"1N4148";;;
8;"F1";"Fuseholder5x20_horiz_open_universal_Type-III";1;"FUSE";;;
9;"P3";"PINHEAD1-2";1;"SALIDA_1";;;
10;"P4";"PINHEAD1-2";1;"SALIDA_2";;;
11;"Q1,Q2,Q7,Q8";"TO-92_Molded_Narrow";4;"2N3906";;;
12;"Q3,Q4";"TO-92_Molded_Narrow";2;"2N3904";;;
13;"Q9,Q14";"TO-18-3";2;"2N2222";;;
14;"Q10,Q12";"TO-220-3_Vertical";2;"TIP127";;;
15;"R1,R2,R5,R6,R8,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1k";;;
16;"R3,R4,R7,R10,R13,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"4k7";;;
17;"R9,R12,R17,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1k8";;;
18;"R15,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22";;;
19;"R23,R26,R27,R35,R36,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10k";;;
20;"R24,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330";;;
21;"R25,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
22;"R28,R29,R33,R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470";;;
23;"R30,R31,R32";"R_Axial_Power_L25.0mm_W9.0mm_P27.94mm";3;"0.1";;;
24;"D6,D7";"D_A-405_P7.62mm_Horizontal";2;"Dz 18v";;;
25;"J2";"TerminalBlock_bornier-5_P5.08mm";1;"Conn_01x05";;;
26;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"ACS712";;;
27;"J5,J6,J7,J8";"MountingHole_3.7mm";4;"Agujero";;;
